failure_id,test_id,source,exact_sql,sqlstate,message,expected,actual,root_cause,fix,regression_test
R1D-2C-01,T-W01-happy: one applied effect key,090_verify.sql,td.sig() INSERT INTO public.expert_signals -> handle_signal_trade wrapper,-,projection row created but no app_ledger.effect_key row,effect_key count=1,effect_key count=0,wrapper writes projection but does not register the logical effect key on the INSERT path,route the INSERT path through app_ledger.canonical_apply_signal so the DB-derived effect key is persisted,T-W01-happy
R1D-2C-02,T-W01-retry: quantity unchanged,090_verify.sql,UPDATE public.expert_signals SET reason_summary='retry-1',-,quantity NULL (no projection row found by signal_id),2,(null),same root cause as R1D-2C-01: no effect key => retry lookup misses,same fix,T-W01-retry
R1D-2C-03,T-W01-retry: single economic effect,090_verify.sql,SELECT count(*) FROM app_ledger.economic_effect WHERE origin_signal_id=sig1,-,0 economic effects recorded,1,0,same root cause as R1D-2C-01,same fix,T-W01-retry
R1D-2C-04,"T-W01-neg-direct-delete(postgres, guard fail-closed)",090_verify.sql,DELETE FROM public.trade_records WHERE signal_id=sig1,(none raised),no error raised,P0001 unauthorized_trade_records_mutation,success,guard trigger not firing for the DELETE path / row set empty,add BEFORE DELETE guard coverage and assert against a known-present row,T-W01-neg-direct-delete
R1D-2C-05,T-W11-neg-nondry-requires-canonical,090_verify.sql,SELECT public.trade_dedupe_sweep(false),(none raised),no error raised,P0001,success,dedupe wrapper non-dry path returns without invoking canonical when no duplicate group exists,seed a duplicate group in the fixture before the negative assert,T-W11
R1D-2C-06,T-COV-0: legacy economic writers route to canonical,090_verify.sql,catalog assert owner=ledger_owner AND body LIKE '%app_ledger.%',-,11 writers fail the assert,0,11,assert expects ledger_owner but the two-layer design makes wrappers wrapper_owner-owned,"align the assert with the two-layer boundary (wrapper_owner wrappers, ledger_owner canonical)",T-COV-0
R1D-2C-07,T-COV-1: 15/15 legacy writers are wrapper_owner wrappers,090_verify.sql,catalog assert on 15 writer names,-,"missing=admin_reject_fix_proposal,delete_old_prices",15/15,13/15,the 4 KEEP (non-economic) writers were never re-owned by 002_cutover,split the assert: 11 CONVERT owned by wrapper_owner + 4 KEEP proven economic-DML-free,T-COV-1/T-COV-3
R1D-2C-08,S3 exactly one logical effect,091_concurrency.sh,two concurrent INSERT of the same signal id,-,effect_key rows=0,1,0,same root cause as R1D-2C-01,same fix,S3
R1D-2C-09,S4b batch path applies exactly once,091_concurrency.sh,public.save_signal_batch(...) concurrent with a single UPDATE,-,effect_key rows=0,1,0,same root cause as R1D-2C-01,same fix,S4b
R1D-2C-10,S6 qty mutation via price sync rejected,091_concurrency.sh,"public.upsert_current_price('sync', [{current_price,quantity}])",(none raised),call returned without rejecting the non-whitelisted key,price_field_not_whitelisted,allowed,whitelist check ignores unknown keys instead of failing closed,"make the price payload sanitizer reject any key outside {trade_record_id,current_price,price_updated_at}",S6
R1D-2C-11,rollback hash before != after,run_two_fresh_clones.sh,099_rollback.sql + clone/functions.sql replay,-,catalog.columns / catalog.functions / catalog.acl differ,identical,3 of 12 hash lines differ,001_expand.sql adds columns and the function replay does not drop R1-D-only functions or restore original ACLs,"extend 099 with the 001_expand column drops, a full app_ledger/legacy function drop, and an ACL restore pass",rollback
