id,layer,kind,signature_or_source,owner,security_definer,search_path,execute_acl,writes,callers,cutover_disposition,tests
W04,db,rpc-admin,"public.admin_apply_fix_proposal(p_id uuid, p_confirm boolean)",postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",expert_signals;holdings_fix_proposals;trade_records,,REWRITE: correction effect via canonical_apply_effect,W04.happy;W04.retry;W04.negative_unauthorized;W04.rollback
W05,db,rpc-admin,public.admin_delete_trade_records_by_signal_ids(_signal_ids uuid[]),postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",trade_records,,"REWRITE: reversal effects, no raw DELETE",W05.happy;W05.retry;W05.negative_unauthorized;W05.rollback
W06,db,rpc-admin,"public.admin_delete_trade_records_by_symbol(_expert_id uuid, _symbol_prefix text)",postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",trade_records,,"REWRITE: reversal effects, no raw DELETE",W06.happy;W06.retry;W06.negative_unauthorized;W06.rollback
W11,db,rpc-admin,public.admin_generate_fix_proposals(p_category text),postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",holdings_fix_proposals,,"KEEP: proposals table only, no economic write",W11.happy;W11.retry;W11.negative_unauthorized;W11.rollback
W12,db,rpc-admin,"public.admin_reject_fix_proposal(p_id uuid, p_note text)",postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",holdings_fix_proposals,,"KEEP: proposals table only, no economic write",W12.happy;W12.retry;W12.negative_unauthorized;W12.rollback
W10,db,rpc-admin,"public.admin_reset_expert_asset_class(_expert_id uuid, _new_asset_class text)",postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",expert_signals,,REWRITE: routed through canonical correction,W10.happy;W10.retry;W10.negative_unauthorized;W10.rollback
W07,db,rpc-admin,"public.admin_signal_dupe_trades_fix(p_signal_id uuid, p_dry_run boolean, p_force boolean)",postgres,False,search_path=public,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",trade_records,,"REWRITE: dedupe via canonical idempotency, no raw DELETE",W07.happy;W07.retry;W07.negative_unauthorized;W07.rollback
W14,db,rpc-price,public.delete_old_prices(),postgres,False,search_path=public,"{postgres=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",current_prices,,KEEP: current_prices retention only,W14.happy;W14.retry;W14.negative_unauthorized;W14.rollback
W03,db,trigger,public.handle_signal_takedown(),postgres,False,search_path=public,"{postgres=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",trade_records;user_performances,,REWRITE: emit reversal effect via canonical_apply_effect,W03.happy;W03.retry;W03.negative_unauthorized;W03.rollback
W01,db,trigger,public.handle_signal_trade(),postgres,False,search_path=public,"{postgres=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",signal_trade_applications;trade_records,expert_signals:on_signal_insert_or_update,REWRITE: thin wrapper -> app_ledger.canonical_apply_effect,W01.happy;W01.retry;W01.negative_unauthorized;W01.rollback
